PARASITE DRAG BUILD UP DATA 

Mach, Altitude (ft), Vinf (Mach), S_ref (in^2)
1.200000, 10000.000000, 1.200000, 460.944000 

Temp (F), Pressure (lbf/ft^2), Density (slug/ft^3) 
23.338400, 1455.331432, 0.001755 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Spalding-Chi Explicit Empirical Fit 

Component Name,S_wet (in^2),L_ref (in),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (in^2),Cd,% Total 
Fuse,857.729241, 62.368422, 9.649950,1.057828, Hoerner Streamlined Body,33372951.479786, 0.000000,0.002454, 1.000000,2.226457, 0.004830, 39.364090 
Wing,808.045746, 17.931807, 0.040000,1.080154, Hoerner,9595197.653617, 0.000000,0.002971, 1.000000,2.592943, 0.005625, 45.843608 
VStab,112.421509, 5.327369, 0.040000,1.080154, Hoerner,2850641.644874, 0.000000,0.003632, 1.000000,0.441041, 0.000957, 7.797668 
Canards,100.348955, 5.177482, 0.040000,1.080154, Hoerner,2770438.320452, 0.000000,0.003650, 1.000000,0.395621, 0.000858, 6.994634 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 5.656062, 0.012271, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 5.656062, 0.012271, 100.000000 
