# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuse,0,OKXSKJCXFZ,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,46,25
# x,y,z,u,w
-2.960594732333750610e-16, -7.401486830834376525e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
-1.918903993179283049e-16, -6.442034834244736973e-17, 1.096516567531018744e-17, 0.000000000000000000e+00, 1.666666666666666574e-01
-1.535123194543426242e-16, -4.660195412006829664e-17, 3.837807986358565606e-17, 0.000000000000000000e+00, 3.333333333333333148e-01
-1.480297366166875305e-16, -3.700743415417188263e-17, 7.401486830834376525e-17, 0.000000000000000000e+00, 5.000000000000000000e-01
-1.480297366166875305e-16, -2.741291418827547169e-17, 4.797259982948207623e-17, 0.000000000000000000e+00, 6.666666666666666297e-01
-1.480297366166875305e-16, -9.594519965896409392e-18, 3.837807986358565606e-17, 0.000000000000000000e+00, 8.333333333333333703e-01
-1.480297366166875305e-16, 0.000000000000000000e+00, 3.700743415417188263e-17, 0.000000000000000000e+00, 1.000000000000000000e+00
-1.754426508049629991e-16, 8.223874256482645206e-18, 3.837807986358565606e-17, 0.000000000000000000e+00, 1.166666666666666741e+00
-1.699600679673079300e-16, 1.644774851296528117e-17, 4.797259982948206391e-17, 0.000000000000000000e+00, 1.333333333333333259e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 7.401486830834376525e-17, 0.000000000000000000e+00, 1.500000000000000000e+00
0.000000000000000000e+00, 9.594519965896421718e-18, 2.193033135062035640e-17, 0.000000000000000000e+00, 1.666666666666666741e+00
0.000000000000000000e+00, 2.741291418827545937e-17, 2.741291418827553024e-18, 0.000000000000000000e+00, 1.833333333333333259e+00
0.000000000000000000e+00, 3.700743415417188263e-17, 8.217301096052205850e-33, 0.000000000000000000e+00, 2.000000000000000000e+00
0.000000000000000000e+00, 2.741291418827548710e-17, -2.741291418827537617e-18, 0.000000000000000000e+00, 2.166666666666666519e+00
0.000000000000000000e+00, 9.594519965896400148e-18, -2.193033135062040570e-17, 0.000000000000000000e+00, 2.333333333333333481e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -7.401486830834376525e-17, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, 8.223874256482640584e-18, -5.756711979537848409e-17, 0.000000000000000000e+00, 2.666666666666666519e+00
0.000000000000000000e+00, 4.111937128241320292e-18, -6.579099405186114932e-17, 0.000000000000000000e+00, 2.833333333333333481e+00
0.000000000000000000e+00, 1.643460219210441170e-32, -7.401486830834376525e-17, 0.000000000000000000e+00, 3.000000000000000000e+00
-7.127357688951611978e-17, -6.853228547068854827e-18, -6.442034834244736973e-17, 0.000000000000000000e+00, 3.166666666666666519e+00
-1.754426508049630484e-16, -2.398629991474106277e-17, -4.660195412006828431e-17, 0.000000000000000000e+00, 3.333333333333333481e+00
-1.480297366166875305e-16, -7.401486830834376525e-17, -3.700743415417188263e-17, 0.000000000000000000e+00, 3.500000000000000000e+00
-1.535123194543426242e-16, -5.756711979537848409e-17, -1.918903993179284344e-17, 0.000000000000000000e+00, 3.666666666666666519e+00
-1.918903993179283542e-16, -6.579099405186114932e-17, -5.482582837655085248e-18, 0.000000000000000000e+00, 3.833333333333333481e+00
-2.960594732333750610e-16, -7.401486830834376525e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
9.029515900009184026e-01, 2.176191496924170798e-01, 0.000000000000000000e+00, 9.090909090909091161e-02, 0.000000000000000000e+00
